id,Dialouge
1,[पृथ्वी सरकार मुख्यालय]
2,[सरकारी अधिकारी और सैन्य नेता]
3,[कर्निवल मास्टर का आगमन...]
4,"ओलिविया: ""हमारा विनाश करने नहीं आया है। यह एक ब्रह्मांडीय टूर्नामेंट है?"""
5,"मेगन: ""बहुत बढ़िया। मेरा अनुमान है कि इसमें कोई वार्म-अप राउंड नहीं होगा।"""
6,[सरकारी नेता घूरते हुए]
7,"कर्निवल मास्टर: ""नमस्ते, पृथ्वी के निवासियों। आपको आकाशगंगा कर्निवल में भाग लेने के लिए चुना गया है..."""
8,"[जनरल हुआ, एक कठोर सैन्य नेता]"
9,"मेगन: ""ब्रह्मांडीय ओलंपिक्स। मजेदार लग रहा है... जब तक ऐसा न हो।"""
10,"कर्निवल मास्टर: ""...अच्छे से प्रतिस्पर्धा करो, नहीं तो तुम्हारा ग्रह विजेताओं को समर्पित कर दिया जाएगा।"""
11,[कर्निवल मास्टर का चेहरा जब वह अंतिम शब्द बोलता है...]
12,"ओलिविया: ""यह सिर्फ खेल नहीं है।"""
13,"[समूह में भ्रम और चिंता, कुछ लोग अपने टैबलेट चेक कर रहे हैं और फुसफुसा रहे हैं]"
14,"मेगन (बुदबुदाते हुए): ""यह उससे बहुत आगे है जिसके लिए मैंने साइन अप किया था।"""
15,"[स्टैटिक की आवाज़, जिससे पता चलता है कि एलियन जहाज पृथ्वी को घेर रहे हैं।]"
16,"मेगन: ""अब क्या? बस इसे झेलो?"""
17,"ओलिविया: ""हमें समझने की ज़रूरत है कि हम किससे निपट रहे हैं।"""
18,"कर्निवल मास्टर: ""अपने आपको तैयार करो ब्रह्मांड के सबसे महान खेलों के लिए।"""
19,"जनरल हुआ: ""हमें मान लेना चाहिए कि यह सिर्फ एक खेल नहीं है... यह एक परीक्षा है। और हम असफल नहीं हो सकते।"""
20,"मेगन: ""शानदार। अंतरिक्षीय खेल प्रतियोगिता, और हम नौसिखिए हैं।"""
21,"ओलिविया: ""हमें अपने सबसे तेज़ दिमागों को एकत्र करना होगा। यह जितना विज्ञान का मामला है उतना ही अस्तित्व का भी है।"""
22,[तनाव और एकता—हर कोई स्थिति की गंभीरता समझता है]
23,[माहौल तनावपूर्ण लेकिन ऊर्जावान है]
24,"मेगन (सांस छोड़ते हुए): ""यह या तो अविश्वसनीय होगा... या एक आपदा।""
ओलिविया (शांत स्वर में): ""जब तक हम इसे खुद नहीं देख लेते, हम नहीं जान सकते।"""
25,"कैप्टन लियू: ""ध्यान केंद्रित करो। हमें नहीं पता कि क्या आ रहा है, लेकिन हम पृथ्वी के सर्वश्रेष्ठ हैं।"""
26,[एक एलियन ट्रिसोलरान जहाज उतरता है]
27,[हवा की आवाज़ तेज हो जाती है जब दोनों टीमें तनावपूर्ण चुप्पी में एक-दूसरे का सामना करती हैं।]
28,"कैप्टन ट्रिसा: ""मैं यहां हूं यह सुनिश्चित करने के लिए कि मेरी टीम जीते। मेरे रास्ते में मत आना।"""
29,"मेगन (मुस्कुराते हुए): ""हम काटते नहीं हैं... जब तक तुम शुरू नहीं करते।"""
30,"ओलिविया (धीरे से, मेगन के हाथ पर हाथ रखते हुए): ""पहले दिन दुश्मन मत बनाओ।"""
31,"[चुप्पी लंबी खिंचती है जब दोनों कैप्टन एक लंबी, तीव्र नजरों का आदान-प्रदान करते हैं।]"
32,[दस्तानों की आवाज़ जब कैप्टन ट्रिसा अनिच्छा से कैप्टन लियू से हाथ मिलाती हैं।]
33,[मेगन और ट्रिसा की आँखें मिलती हैं।]
34,"[हवा तेज होती है जब दोनों टीमें एक बड़े घेरे में खड़ी होती हैं, अभी भी अलग लेकिन एक साथ अखाड़े में।]"
35,"ओलिविया (साँस फूली हुई): ""क्या मैंने हाथ मिलाना मिस कर दिया? कृपया बताओ कि मैंने इसे मिस नहीं किया।"""
